ticket_id,created_at,status,brand_id
2627641,2026-06-01T09:46:40,closed,28331414811547
2628809,2026-06-01T19:07:00,closed,28331414811547
2629594,2026-06-01T23:07:08,closed,28331414811547
2629870,2026-06-02T00:28:08,closed,28331414811547
2630857,2026-06-02T11:26:58,closed,28331414811547
2631050,2026-06-02T12:30:39,closed,28331414811547
2631816,2026-06-02T16:19:35,closed,28331414811547
2633333,2026-06-02T23:12:16,closed,28331414811547
2634391,2026-06-03T03:55:25,closed,28331414811547
2635588,2026-06-03T17:19:50,closed,28331414811547
2636395,2026-06-03T22:37:11,closed,28331414811547
2638784,2026-06-04T19:33:41,closed,28331414811547
2643235,2026-06-06T12:12:41,closed,28331414811547
2643393,2026-06-06T13:39:36,closed,28331414811547
2644084,2026-06-06T17:44:55,closed,28331414811547
2644182,2026-06-06T18:19:26,closed,28331414811547
2644221,2026-06-06T18:37:13,closed,28331414811547
2646038,2026-06-07T06:28:33,closed,28331414811547
2646072,2026-06-07T07:17:04,closed,28331414811547
2647168,2026-06-07T18:14:16,closed,28331414811547
2648669,2026-06-08T01:40:09,closed,28331414811547
2650150,2026-06-08T16:53:36,closed,28331414811547
2653877,2026-06-09T15:13:40,closed,28331414811547
2654029,2026-06-09T16:25:04,closed,28331414811547
2654926,2026-06-09T22:42:21,closed,28331414811547
2657903,2026-06-10T22:51:41,closed,28331414811547
2659003,2026-06-11T10:16:27,closed,28331414811547
2661651,2026-06-11T22:40:41,closed,28331414811547
2661884,2026-06-11T23:27:57,closed,28331414811547
2662338,2026-06-12T00:48:04,closed,28331414811547
2664814,2026-06-12T15:57:12,closed,28331414811547
2665923,2026-06-12T20:59:59,closed,28331414811547
2666973,2026-06-13T01:12:03,closed,28331414811547
2669732,2026-06-13T14:34:46,closed,28331414811547
2671354,2026-06-13T17:43:37,closed,28331414811547
2673639,2026-06-13T21:53:06,closed,28331414811547
2674528,2026-06-13T23:26:22,closed,28331414811547
2674680,2026-06-13T23:49:23,closed,28331414811547
2676369,2026-06-14T08:53:41,closed,28331414811547
